iter	Passed	Remaining
403	10118	14926
404	10143	14902
405	10167	14875
406	10193	14851
407	10218	14826
408	10243	14802
409	10268	14776
410	10292	14750
411	10317	14724
412	10342	14699
413	10366	14673
414	10391	14648
415	10416	14623
416	10442	14599
417	10468	14575
418	10495	14553
419	10523	14532
420	10552	14512
421	10582	14494
422	10613	14476
423	10644	14459
424	10674	14441
425	10684	14395
426	10712	14375
427	10745	14360
428	10773	14339
429	10799	14315
430	10827	14294
431	10855	14273
432	10883	14251
433	10910	14228
434	10935	14203
435	10960	14178
436	10984	14151
437	11009	14126
438	11033	14099
439	11057	14073
440	11082	14047
441	11107	14022
442	11130	13995
443	11153	13966
444	11175	13938
445	11197	13908
446	11219	13879
447	11242	13852
448	11264	13823
449	11287	13795
450	11309	13766
451	11332	13739
452	11354	13710
453	11376	13681
454	11398	13653
455	11421	13625
456	11444	13598
457	11469	13573
458	11494	13547
459	11518	13521
460	11544	13497
461	11568	13471
462	11592	13445
463	11617	13420
464	11643	13396
465	11668	13371
466	11693	13345
467	11719	13321
468	11746	13299
469	11773	13276
470	11804	13257
471	11835	13239
472	11866	13221
473	11897	13202
474	11926	13182
475	11954	13160
476	11981	13137
477	12010	13115
478	12038	13093
479	12065	13070
480	12092	13048
481	12120	13025
482	12147	13002
483	12174	12979
484	12201	12956
485	12228	12932
486	12253	12907
487	12277	12881
488	12303	12856
489	12328	12832
490	12355	12808
491	12380	12782
492	12404	12756
493	12428	12730
494	12453	12704
495	12477	12678
496	12503	12653
497	12528	12629
498	12556	12606
499	12583	12583
500	12609	12559
501	12639	12538
502	12670	12519
503	12699	12497
504	12729	12477
505	12760	12457
506	12789	12436
507	12817	12413
508	12846	12392
509	12873	12368
510	12900	12344
511	12927	12321
512	12954	12298
513	12980	12273
514	13005	12247
515	13030	12221
516	13054	12195
517	13079	12170
518	13103	12144
519	13126	12116
520	13150	12090
521	13174	12064
522	13198	12037
523	13220	12009
524	13242	11981
525	13265	11954
526	13287	11925
527	13310	11898
528	13332	11870
529	13354	11842
530	13377	11815
531	13402	11790
532	13427	11764
533	13452	11739
534	13477	11714
535	13502	11688
536	13526	11662
537	13552	11637
538	13577	11612
539	13602	11587
540	13626	11560
541	13651	11535
542	13675	11509
543	13699	11483
